subject,subject_en,type
Bericht über Abweichung,Distinction Report,Incident
Verletzung von Datenschutz in der Klinik-IT-Systeme,Transfusion of data protection in the clinical IT system,Problem
Vorschläge zur Sicherung medizinischer Daten mit DocuSign SAP,Proposals for the protection of medical data with DocuSign SAP,Request
Fehlerhafte Analyseergebnisse in Investitionsoptimierungsmodul gemeldet,Reported error analysis results in investment optimization module,Problem
Sichere Medizinische Daten mit TensorFlow und Google Cloud,Secure medical data with TensorFlow and Google Cloud,Request
Verbesserung der Strategien für Markengröße,Improving market size strategies,Request
Digitale Strategie für Markenentwicklung,Digital Strategy for Market Development,Request
Probleme bei dem Investments-Dashboard,Problems with the Investments Dashboard,Incident
Medizinische Sicherheit Details,Medical safety details,Request
Bericht über möglichen Datenverlust medizinischer Daten aufgrund eines nicht sicheren ClickUp-Dashboards,Report on possible data loss of medical data due to an insecure clickUp Dashboard,Incident
Leistungsbremsungen bei der Datenanalyse-Plattform aktuell,Performance brakes at the data analysis platform at present,Incident
Probleme bei der Kampagnenanalyse nicht ordnungsgemäß behandelt,Problems in the campaign analysis are not treated properly.,Problem
"Autorisierter Zugriff versucht, sofort melden","Try authorised access, immediately log in",Incident
Fehler bei der Startfunktion von Digitalen Kampagnen,Error starting digital campaigns,Incident
Wachstum der Gaming-Marke,Gaming marker growth,Request
Strategien für die Markenerweiterung im Digitalbereich,Strategy for the Digital Market Extension,Request
Technische Unterstützung: Unvorhergesehene Betriebsstörung,Technical support: Unforeseen operation,Incident
Sperren von Krankensystemdaten,Discontinuation of disease system data,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Erhöhung des digitalen Kampagnenwachstums,Increase in the digital campaign growth,Change
Probleme bei der SendGrid-E-Mail-Berichtsfunktion,Problems with sendingGrid E-mail,Problem
Nötige Hilfe bei Datenverletzungen,Necessary assistance in data damage,Incident
Twitch Support,Twitch Support,Request
Der Server brach während des Spitzenbetriebs ab,The server terminated during the startup operation,Problem
Sichere Daten Speicherung,Secure Data Storage,Change
Einbinden intelligenter Waage in das Moodle-System,Illustrating smart guard into the Modle System,Request
Probleme mit der Smart-Waage,Problems with the Smart Watch,Problem
Mangelnde Data Analytics Werkzeuge,Missing Data Analytics Tools,Incident
Hilfe bei medizinischer Datensicherheit im Zusammenhang mit veralteter Software,Medical data security assistance in relation to older software,Incident
Hinweise zur Optimierung von Investitionen,Indications on optimisation of investments,Request
Verletzung von Sicherheitsrichtlinien bei Systemen,Infringement of safety policies in systems,Problem
Optimierung von Django-Investitionen mit Redis,Optimisation of Django investments with Redis,Request
Suche Anleitungen für die Sicherung medizinischer Daten in Notion nach besten Praktiken von Krankenhäusern,Search for guidance for the protection of medical data in Noon according to the best practices of hospitals,Request
"Unautorisierte Zugriffsanfragen an medizinisches Datensystem infolge schwacher Zugriffssteuerungen beobachtet. Vorläufige Schritte getroffen, Passwörter geändert, benötigen zusätzliche Unterstützung, um Systeme sicherer zu gestalten.","Unauthorised access requests to medical data systems are observed due to weak access controls. Temporary steps have been made, passwords have been changed, additional support is needed to make systems safer.",Problem
Anfrage zur Aktualisierung der Integrationseinstellungen,Request for updating integration settings,Change
Problematik mit dem Investment-Daten-Verarbeitungsprogramm,Problems with the investment data processing program,Problem
Empfohlene Sicherheitsprotokolle für das QNAP TS-453D NAS in Gesundheitsumgebungen,Recommended safety protocols for the QNAP TS-453D NAS in health environments,Request
Anfrage zur Aktualisierung desDigitalen Werkzeugs,Request for updating the digital tool,Change
Sicherheitsbedenken aufgrund einer möglichen Datensperre in der medizinischen Infrastruktur,Safety concerns due to a possible data barrier in medical infrastructure,Incident
Optimierung von Investitionsportfolios,Optimisation of investment portfolios,Request
Anfrage für Unterstützung bei Investitionsprognosen,Request for support for investment projections,Problem
[NO_SUBJECT],[NO_SUBJECT],Incident
Kürzlich gemeldete Verzögerungen bei den Antwortzeiten,Recently reported delays in response times,Incident
Hilfe bei der Analytics-Plattform,Hilfe bei der Analytics-Plattform,Incident
Bericht über einen unerwarteten Crash des SaaS-Systems,Report of an unexpected crash of the SaaS system,Incident
Probleme bei den Datenaufbereitungsworkflows,Problems with data preparationflows,Incident
Frage zu digitalen Strategie-Dienstleistungen für Markengröße Online,Question of Digital Strategy Services for Market Size Online,Request
Erklärung Digitaler Strategien zur Förderung von Gamepads,Declaration of Digital Strategy for the Promotion of Gamepads,Request
"Probleme bei der Datensynchronisierung bei einer Finanzfirma aufgrund von Netzwerkunstabilität und deren Auswirkungen auf die Investment-Analyse. Versuche zur Lösung umfassen Neustart des Routerrouters und Optimierung der Gerätepositionierung, jedoch bleibt das Problem bestehen.","Problems in data synchronization at a financial firm due to network instability and its impact on investment analysis. Attempts to solve include the restart of the router router and the optimization of the device positioning, but the problem remains.",Problem
Probleme mit dem Projekt-Desktopcharge,Problems with loading the project desktop,Incident
Auffrischung der Daten der Marketing-Agentur,Update of the marketing agency's data,Change
Unterstützung für die Verbesserung der Investitionsüberwachung,Support for the improvement of investment surveillance,Change
Anfrage nach digitalen Strategien für Marketingagenturen,Request for digital strategies for marketing agencies,Request
Bekannte Ausfälle der Projektmanagement-Software,Known results of project management software,Problem
Efektive Schutz von medizinischen Daten in Krankenhäusern,Effective protection of medical data in hospitals,Request
Medizindatenverlust aufgrund veralteter Redis 6.2-Vulnerabilität,Medical data loss due to ageing Redis 6.2 Vulnerability,Problem
Wirkliche Schutz medizinischer Daten im IT-Umfeld eines Krankenhauses gewährleisten,Real protection of medical data in the IT field of a hospital,Request
Unerwartetes Abstürzen der Datenaufbereitungs-Ansicht,Unexpected end of data preparation view,Incident
Empfohlene Sicherheitsmaßnahmen für medizinische Daten auf Ubuntu-Systemen,Recommended security measures for medical data on Ubuntu systems,Request
Verbesserungsvorschläge für die Benutzeroberfläche des SaaS-Plattform,Proposals for improvement of the SaaS platform surface,Change
Anwendung von Projektleitungsbest Practices,Application of best project management practices,Request
Probleme mit Softwarekompatibilität,Problems with software compatibility,Problem
Detaillierte Informationen zu Datenanalyse-Lösungen,Detailed information on data analysis solutions,Request
Sicherheitseigenschaften für medizinische Daten,Safety features for medical data,Request
Hinweis zur Problematik beim Laden des Microsoft Teams-Dashboards,Information on the problem when loading the Microsoft Team Dashboard,Incident
Probleme mit der Kampagne,Problems with the campaign,Problem
[NO_SUBJECT],[NO_SUBJECT],Problem
Verschlüsselung medizinischer Daten auf Android,Closure of medical data on Android,Request
Probleme bei der Integration,Problems in integration,Problem
Probleme bei der Kampagnensynchronisation,Problems with campaign synchronization,Problem
Kompatsibilität des Acer Predator XB273K mit Windows,Acer Predator XB273K compatibility with Windows,Request
Schwierigkeiten mit der Datenversorgung,Difficulty with the provision of data,Problem
Probleme mit digitalen Kampagnen aufgrund von Kompatibilitätsproblemen,Problems with digital campaigns due to compatibility problems,Incident
Erkundung von digitale Strategien für Clevere Produkte,Discovering digital strategies for Clavere products,Request
Probleme bei der Social-Medien-Kampagne,Problems with the social media campaign,Incident
Anforderungen für die VR-Systemintegration,Requirements for VR System Integration,Request
Ihr Projekt-Daten-Problem meldet,Report your project's data problem,Incident
Probleme mit dem Netgear Nighthawk Mesh Wi-Fi 6-System,Problems with the Netgear Nighthawk Mesh Wi-Fi 6 System,Incident
Support: Unterstützung bei der Nutzung von Wix und Smartsheet für die Markenentwicklung,Support: Support for the use of Wix and smartphones for market development,Request
Verzögerte Investitionsanalysen unerwartet,Delayed investment analysis unexpected,Problem
Hilfe bei digitalen Kampagnen,Help with digital campaigns,Incident
Probleme mit den Datenanalyse-Tools möglicherweise durch Software-Updates verursacht,Problems with the data analysis tools may be caused by software updates,Incident
Anfrage zur Unterstützung bei einer Sicherheitsverletzung,Request for assistance in the event of a security breach,Incident
Probleme mit dem Data Analytics System,Problems with data Analytics System,Incident
Robuste Sicherheitsmaßnahmen für Datensicherheit in Krankenhäusern,Robust safety measures for data safety in hospitals,Request
Sicherung medizinischer Daten in WordPress-Krankenhausbetrieben,Safety of medical data at WordPress Hospital,Request
Optimierung finanzieller Analysen mit Oracle Database 19c,Optimisation of financial analysis with Oracle Database 19c,Request
Anfrage nach Unterstützung für Nuendo,Request for support for Nuendo,Request
Unterstützung bei Problemen mit Datenunstimmigkeiten,Support for data harmony problems,Problem
Unterstützung bei Kenntnisserlangung zu Datenaufbereitungs-Tools,Support for knowledge-repairing tools,Request
Warnung über möglichen Datenverlust im IT-System des Krankenhauses,Warning about possible data loss in the IT system of the hospital,Problem
Frage zu Zahlungsmöglichkeiten für Jahresabonnements,Question of payment opportunities for annual subscriptions,Request
Verbesserung von Investitionen für Banken und Finanzdienstleister,Improving investment for banks and financial services,Request
Frage zum Kundenservice-Projekt,Question about customer service project,Request
Forderung zur technischen Unterstützung,Requirements for technical assistance,Incident
Wichtiger Fehlerbericht zu unserem Datenanalyse-Tool gemeldet,Important error message reported to our data analysis tool,Incident
Digitale Strategie für Geschäftswachstum,Digital strategy for business growth,Request
Probleme bei der API-Integration heute,Problems with API integration today,Problem
Technische Herausforderung durch neueste Systemaktualisierung,Technical challenge by latest system update,Incident
Problemmeldung,"Report of the Committee on Economic and Monetary Affairs and Industrial Policy on the proposal for a Council Regulation (EC) No 1883/2006 (OJ L 347, 20.12.2013, p. 1).",Incident
Technische Anschlussproblematik,Technical connection problem,Incident
Unangemessene Ausfalllage des Datenanalyse-Systems heute,Inappropriate failure of the data analysis system today,Incident
Verbessern von Digitalen Marketingstrategien mit ClickUp,Improve digital marketing strategies with ClickUp,Request
Absturz-Bericht,Aborted Report,Incident
Technische Sphäre,Technical advice,Problem
Viele Arbeitenstools Kollabierten Gleichzeitig Dieser Morgen,Many tools collaborated at the same time this morning,Incident
Anfrage zur Unterstützung bei Netzwerkbetriebseinbruch,Request for network operating aid,Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
Fehler bei Inhalten von Kampagnenmetriken,Error in content of campaign metrics,Problem
Verbesserung von Investitionen,Improving investment,Request
Antrag auf Aktualisierung des digitalen Strategieframeworks für Markengründung,Application for updating the digital strategy framework for marketing,Change
Hilfeanfrage zu Integrationstrotz,Aid for integration,Incident
Fehlermeldung für Datenaufarbeitungs-Tool,Cannot initialise Evolution's mail component.,Incident
Versicherung von medizinischen Daten,Medical data insurance,Change
Antrag auf Anpassungen der Datenanalysetools,Application for data analysis adjustments,Change
Unerwartete Datenanalyse-Fehler aufgetreten,Unexpected data analysis error,Incident
Unbefugtes Zugriffsanliegen identifiziert,Unauthorised access rights identified,Incident
Probleme mit dem Smart-Türklingel,Problems with the Smart Turklingel,Incident
Problematik bei der Verschlüsselung medizinischer Daten,Problems in the encryption of medical data,Incident
Bestätigung zur Ermittlung des Problems mit dem Data analytics Dashboard,Confirmation of the problem with the data analytics Dashboard,Problem
"Ihr System erleidet mehrfache Crashes, vermutlich infolge inkonsistenten Updates oder unvereinbare Treiber","Your system produces multiple crashes, probably due to inconsistencies of updates or incompatible drivers",Incident
Medizinische Datenverletzung angetreten,Medical data damage,Problem
Unregelmäßige Ladezeiten bei Projektmanagement-Dashboard gemeldet,Invalid loading times for project management Dashboard,Incident
Anfrage zur Verbesserung der Sicherheitsmaßnahmen bei der Verwaltung medizinischer Daten,Request for improvement of safety measures in the management of medical data,Change
"Forderung: Verbesserung bestehender digitaler Strategien, Erhöhung der Marktpendelung und Anreicherung der Kundenbasis","Demand: Improving existing digital strategies, increasing market share and increasing customer base",Change
Hilfe bei der Optimierung digitaler Strategien mit Evernote und ClickUp,Help to optimise digital strategies with Evernote and ClickUp,Request
Beschwerde an Kundensupport,Claims on customer support,Problem
[NO_SUBJECT],[NO_SUBJECT],Incident
Probleme bei Investmentstreuwerkzeug,Problems with Investment Streaming Tool,Problem
Optimierung von Datenanalyse und Investitionsstrategien,Optimisation of data analysis and investment strategies,Request
Unterstützung für QuickBooks Analytics-Tools,QuickBooks Analytics Tools Support,Request
Sicherheitsmaßnahmen für AR-Brillen in medizinischen Einrichtungen,Safety measures for AR glasses in medical facilities,Request
Hilfe zur Entwicklung digitaler Wachstumsmethoden erforderlich,Aid for the development of digital growth methods is necessary,Incident
Verbesserungsmethoden für Investment-Datenanalyse,Improved methods for investment data analysis,Request
Bericht über einen technischen Fehler an den Kundensupport,Report on a technical error in customer support,Incident
Beschwerde über Datensperrverletzung im Medizindatenbankensystem,Complaints about data loss in the medical database system,Incident
Sicherung medizinischer Daten in Microsoft Office 365 für Krankenhäuser,Medical data security in Microsoft Office 365 for hospitals,Request
Fehler bei der Aktualisierung der Kampagnenmetriken,Error updating campaign metrics,Problem
Bewegtheitsprobleme bei Datenebene-Zugriff,Motor Difficulties - switch devices,Incident
Kritische Sicherheitslücke in Patientenakten,Critical safety accidents in patient acts,Incident
"Probleme bei der Desktop-Synchronisation, währenddessen bricht der Desktop ab",Desktop synchronization problems while starting the desktop,Incident
[NO_SUBJECT],[NO_SUBJECT],Problem
Verletzung der Datenvertraulichkeit in unserem KI-System des Krankenhauses,breach of data confidentiality in our KI system of the hospital,Problem
Update des Rechnungsstellungsunterstützungsdienstes,Update of the accounting support service,Change
Probleme bei der Ladung von Projekt-Dashboards,Problems loading project Dashboards,Incident
Datenschutzverstoß gemeldet,Data protection deposit reported,Problem
Kundenerfahrung,Customer experience,Incident
Frage zur Steigerung des Markenwachstums im Digitalmarketing,Question of increasing market growth in digital marketing,Request
Vielfach gemeldete Probleme mit Werkzeugfunktionen könnten auf Softwarekonflikte hindeuten,Frequently reported problems with tool functions could mean software conflicts,Incident
Detaillierte Informationen zur Optimierung von Investitionen und Datenanalyse in SAP ERP und QuickBooks,Detailed information on optimisation of investments and data analysis in SAP ERP and QuickBooks,Request
Digitale Strategien zur Förderung des Markenwachstums bei Neuentwicklungen,Digital strategies to promote market growth in innovation,Request
Einzelheiten verfügbaren Datenanalysewerkzeuge,Details Available Data Analysis Tool,Request
[NO_SUBJECT],[NO_SUBJECT],Problem
Vermutete Datensperrverletzung im Medizinischen Datensystem,Predicted data loss in the medical data system,Incident
Sicherheitsfall: Vermutete Verletzung medizinischer Daten,Safety case: Consumed medical data loss,Incident
Unerwartetes Sinken der Sozialmedien-Teilnahme erfordert Unterstützung,Unexpected union of social media participation requires support,Incident
Mehrfache Anwendungsstürze von CCleaner und Adobe Creative Cloud,Multiple Application Controls by CCcleaner and Adobe Creative Cloud,Problem
[NO_SUBJECT],[NO_SUBJECT],Request
[NO_SUBJECT],[NO_SUBJECT],Request
Anfrage zur Unterstützungsinformationen für die MySQL-Integration,Request for support information for MySQL integration,Request
Anfrage zur Unterstützung des Projektmanagement-Tools,Project management tool support request,Incident
Unterstützung bei Alteryx-Investitionsdatenanalyse,Support for Alteryx investment data analysis,Request
Systemanforderungen für optimale Leistung auf Geräten,System requirements for optimal performance on devices,Request
Fehlerhafte Anlageleistungsdaten Analytics-Desktop,Invalid login data Analytics desktop,Problem
Anfrage zu Erweiterung der Projektmanagement-Software,Request for extension of project management software,Change
Langsame Reaktion Datenanalysetool,Slow Response Data Analysis Tool,Incident
Probleme mit Sozialmedien-Engagement,Problems with social media engagement,Problem
Probleme beim Projekt,Problems in Project,Problem
Probleme mit der Ladegeschwindigkeit der Dashboards,Problems with Dashboard's charging speed,Problem
Probleme im Netzwerk,Network problems,Incident
Probleme bei der Nutzung medizinischer Akten,Problems in the use of medical documents,Incident
Überprüfung der Systemvoraussetzungen,Review of system conditions,Request
Verlangsame Analysepipelines bei Investitionsdaten,Necessary analysis pills in investment data,Problem
Hilfe bei Sicherheitsunfall,Help in the event of a security accident,Incident
Projektmanagement - Neuer Mitarbeiter Einrichtung,Project management - New staff establishment,Request
Website nicht läuffend,Website not running,Problem
Die MySQL-Datenbankverbindung ist plötzlich fehlgeschlagen,MySQL database connection failed,Incident
Strategien für die Förderung von Joystick-Produkten,Strategy for promoting Joystick products,Request
Hilfe bei der digitalen Strategie-Optimierung,Help with digital strategy optimization,Incident
Verbesserung der Evernote-Integration auf der SaaS-Plattform,Improving the integration of Evernote on the SaaS platform,Request
Hilfe bei Datenverletzungen,Help in data damages,Incident
Verschlüsselung von medizinischen Daten in ActiveCampaign-Diensten,Encryption of medical data in ActiveCampaign Services,Request
Versuch einer Datenschutzverletzung im Medikationsdatensystem,Test of data protection in the medical data system,Incident
Rat zu Datenanalysewerkzeugen für finanzielle Investitionen,Council on data analysis tools for financial investments,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Anleitung zur Integration von KlickUp in QuickBooks Online erforderlich,Help to integrate ClickUp into QuickBooks Online required,Request
Probleme mit den Metriken im Dashboard,Problems With Metrics in Dashboard,Incident
Fehler bei der Webseiten- und Sozialmedienintegration,Error in web and social media integration,Problem
Verschlüsselungsmethoden für medizinische Daten in Oracle Database 19c,Encryption methods for medical data in Oracle Database 19c,Request
Sicherheit von Medizindaten auf Laptops,Safety of medical data on laptops,Request
Bestätigung des Problems mit den Datenanalyse-Dashboards durch Elasticsearch-Crash,Confirming the problem with the data analysis table by Elasticsearch-Crash,Problem
Dienstleistung: Kundensupport,Service: Customer support,Request
Anpassung nutzerfreundlicher Funktionen für das Projektmanagement SaaS vorschlagen,Suggesting customization of useful features for the SaaS project management,Change
Meldung über Malware auf Kodak-Scanner,Information about malware on Kodak scanner,Problem
Ungereimte Berichterstattung in Dynamics,Unreliable reporting equipment in dynamics,Incident
Optimierung von Investitionsportfolios mithilfe moderner Datenanalyse-Tools,Optimierung von Investitionsportfolios mithilfe moderner Datenanalyse-Tools,Request
Problem mit Investment-Datenanalyse-Tools,Problem mit Investment-Datenanalyse-Tools,Problem
Medizinische Daten infolge unerlaubten Zugriffs verloren,Loss of medical data due to unauthorised access,Incident
Optimierungsmethoden für Investitionsanalyse,Optimisation methods for investment analysis,Request
Datenschutz in der Medizintechnikabteilung,Data protection in the medical department,Request
[NO_SUBJECT],[NO_SUBJECT],Problem
Die Verschlüsselung der medizinischen Daten ist heute unerwartet fehlerhaft geworden,The encryption of medical data has become unexpected today,Incident
Bekanntmachung zur Unterstützung bei Datenverlust,Notification for data loss support,Incident
Optimierung von Investitionsportfolios für Finanzdienstleister und Institutionen,Optimisation of investment portfolios for financial services and institutions,Request
Verschlusssicherung medizinischer Daten auf Geräten,Closure of medical data on devices,Request
Verletzung der Datensperre im Krankenhaus-IT-System,Loss of data barrier in the hospital IT system,Incident
Hilfe bei der Integration von Firebase in Kubernetes,Help for the integration of Firebease in Kubernetes,Request
Probleme mit Investment-Datenanalyse,Probleme mit Investment-Datenanalyse,Incident
Fehler throughout Datenaustausch,Fehler throughout Datenaustausch,Incident
Plötzliche Abnahme der Befolgbarkeit-Metriken in der Markenkampagne,Emergency take-off of traceability metrics in the brand campaign,Incident
Verbesserung digitale Markenexpansionsstrategien online,Improvement digital brand expansion strategies online,Change
Probleme mit dem Investment-Analysedashboard,Probleme mit dem Investment-Analysedashboard,Incident
Anfrage des Kundensupports zu Analysewerkzeugen für die Integration mit JIRA im Kontext von Investitionsoptimierung,Request for customer support on analytical tools for integration with JIRA in the context of investment optimisation,Request
Update der Softwareversionen,Update software version,Change
Probleme mit dem Audio bei Google Meet,Problems with the audio at Google Meet,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Verbesserung der Datenanalyse-Fähigkeiten für die Optimierung der Investitionsleistung,Improving data analysis capabilities for optimising investment performance,Change
Verdachtsfall auf medizinische Datensperre - sofortige Ermittlungen erforderlich,Suspension on medical data barrier - immediate detection required,Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
Einbinden von SendGrid SaaS,Connection by SendGrid SaaS,Request
Problem mit dem Investitionsdatenstream,Problem with the investment data stream,Incident
Verschlüsselungsfehler ereignigt,Encryption error,Incident
Mitteilung zu Störung bei Hadoop-Fehler,Notification for Hadoop Error,Incident
Systemcrash während Datenanalyse-Skriptausführung,Systemcrash during data analysis script execution,Incident
Aktualisierung von Rechnungsinformationen für Marketing-Zwecke,Updating account information for marketing purposes,Change
Anforderungen an erweiterte Sicherheitsprotokolle für medizinische Daten in Krankenhaus-IT-Systemen,Requirements for extended safety protocols for medical data in hospitals IT systems,Change
Probleme mit der Verbindung bei Produkten,Problems with product connection,Incident
Betreff: Missbrauchsfähige Ereignisse im Kontext von Datendurchbrüchen,Subject: Misuseable events in the context of data abuse,Problem
Verfügbare MATLAB-Anwendungen für Investment-Optimierung,Available METLAB applications for investment optimization,Request
Viele Werkzeuge haben heute gleichzeitig Ausfall,Many tools have the same waste today,Incident
Frage zur Zahlungsarten für Softwareprodukte,Question of types of payment for software products,Request
Probleme bei der Anmeldung seit der letzten Aktualisierung,Problems logged in since last update,Problem
Antrag auf Unterstützung für Verbesserung der Kompatibilität von Corsair Dark Core RGB Pro SE Maus mit macOS-Programmen,Application for support for improving the compatibility of Corsair Dark Core RGB Pro SE Mouse with MacOS programs,Change
Anfrage zur Verbesserung der digitalen Strategien und Markensichtbarkeit,Request for improvement of digital strategies and market visibility,Request
Medizinische Datenverletzung,Medical data damage,Problem
Niedrige Beteiligung an Marketing-Kampagne,Low participation in the marketing campaign,Incident
Verschwinden von Projektdateien,Remove project files,Incident
Gemeldeter Serverausfall,Logged server crash,Incident
Verlangsamerter Antwortsprinter,Preferred Response Printer,Incident
Fehlermeldung: Crash im Investment-Datenanalyse-System,Error message: Crash in Investment Data Analysis System,Problem
Notwendigkeit von Unterstützung bei medizinischen Datensicherheitsverstößen,The need for support in medical data security infringements,Incident
Kampagne hat unerwartet angehalten,The campaign has stopped unexpectedly,Incident
Datenschutzlücken im Krankenhaus-IT-System,Data protection failures in the hospital IT system,Problem
Nicht genaue Investment-Prognosen - Bitte Unterstützung,Non-exhaustive investment projections - Please support,Problem
Beitrag zum Datenschutz: Verschlüsselungsfehler benötigt Unterstützung,Data protection contribution: encryption errors need support,Incident
Ungültige Synchronisierung von Digitalmarketing-Metriken - Nochmals Versuch heute,Invalid synchronization of digital marketing metrics - Again try today,Problem
Unerwarteter Fehler in den Marketing-Automatisierungsprozessen,Unexpected error in marketing automation process,Incident
Unterstützung für fehlerhafte Kampagnen,Support for miscellaneous campaigns,Incident
Verbesserung der Datenanalyseintegration,Improving data analysis integration,Change
Unstimmigkeiten in Softwareprodukten,Inconsistencies in software products,Incident
Sicherheitsmaßnahmen für die Speicherung medizinischer Daten,Safety measures for the storage of medical data,Request
Erhöhung des Markenwachstums mit H2O.ai,Increase in brand growth with H2O.ai,Request
Ihr Data Analytics Dashboard lädt nicht mehr und Fehler auftreten,Your data Analytics Dashboard no longer requests and error occurs,Incident
Problematik bei der Projekttermin-Synchronisierung,Problem with project term synchronization,Incident
Unterstützung für Investment-Prognosen erforderlich,Support for investment projections is necessary,Problem
Verbesserte Verschlüsselung für medizinische Daten,Improved encryption for medical data,Change
Verletzung der Datensicherheit im Medikationsystem,Infringement of data security in the medical system,Problem
Sicherheitsanomalie festgestellt,Security threshold set,Incident
Anfrage zur Beratung über Datenverletzungen,Request for advice on data damages,Problem
Problem bei skalierbarem SaaS-App,Problems with SaaS-App scaling,Incident
Effiziente Integration von Airtable für Projektmanagement-Software heute,Efficient integration of Airtable for Project Management Software today,Request
Hilfe bei der SaaS-Plattformintegration,Help with the SaaS platform integration,Problem
Fehlerhafte Mehrzahl von Werkzeugen - Anmeldebericht,Wrong number of tools - login report,Problem
Anfrage nach Analysewerkzeugen,Query for analytical tools,Request
Strategien für Markenwachstum durch digitale Marketinganätze,Market growth strategies through digital marketing networks,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Sicherheitsprobleme im Krankenhaus-IT-System gemeldet,Safety problems reported in the hospital IT system,Incident
Notwendige Unterstützung für Sicherheitsprobleme,Necessary support for security problems,Problem
Notwendige Systemanforderungen,Necessary system requirements,Request
[NO_SUBJECT],[NO_SUBJECT],Change
Unterstützung für Datenanalyse,Data analysis support,Request
Bericht über mehrere zeitgleich fehlschlägende Integrationsprozesse,Report on several failed integration processes at the same time,Incident
häufige Software-Crashes in Skype-Verheiten melden,report common software crashs in Skype features,Incident
HIPAA-Konformität medizinische Daten,HIPAA Conformity Medical Data,Request
Verschwindende medizinische Daten in der Datenbank,Immediate medical data in the database,Incident
Projektdaten unerwartet vermisst,Project data is missing unexpected,Incident
Potenzielle Datensperrung im Krankenhaus-IT-System,Potential data loss in the hospital IT system,Problem
Anfrage zur Berichtigung von Investitionsprognosen,Request for correction of investment projections,Problem
Probleme mit System-Sperrmüll entdeckt,Problem detected with system spermul,Incident
Digitale Strategien zur(company) Entwicklung,Digital strategies for development,Request
[NO_SUBJECT],[NO_SUBJECT],Request
[NO_SUBJECT],[NO_SUBJECT],Request
Probleme mit langsamen Wachstumsraten,Problems with slow growth rates,Incident
Besorgnis über mögliche Datensperrung in Krankenhaus-IT-Systemen,Concern about possible data blocking in hospitals IT systems,Incident
Optimierung von Investitionsstrategien in der Finanzbranche,Optimisation of investment strategies in the financial sector,Request
Unerwarteter Systemausfall bei Datenauswertung gemeldet,Unexpected system crash data in data evaluation,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Sicherheitsmaßnahmen für Krankenhausdaten,Safety measures for hospital data,Request
Probleme bei unserem Datenanalyse-Dashboard,Problems with our data analysis board,Incident
Unterstützung für Marketing-Campagnen,Support for marketing campaigns,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Probleme bei der Netzwerkverbindung,Network connection problems,Incident
Kritische Datensperrung in unserem medizinischen Datensystem,Critical data barrier in our medical data system,Incident
Folgeanfrage zur Unterstützung in der Datenanalyse,Follow-up request for support in the data analysis,Request
Probleme mit der App,Problems with the application,Incident
Störung bei der Nachtzeit-Datenabfrage,Disturbing at Nighttime Data Query,Incident
Folgefragen zur Integration von Git und Redis in Ihrem SaaS-Plattform,Questions about integration of Git and Redis in your SaaS platform,Request
System Störungen mit Betroffenheit vieler Anwendungen und Geräte,System disorders with regard to many applications and devices,Incident
Welche digitalen Strategieoptionen sind verfügbar für Dienstleistungen im Bereich Markenwachstum und Entwicklung?,What digital strategy options are available for marketing and development services?,Request
Unerwarteter Rechnungsstellungsunterschied festgestellt,Cannot initialise Evolution's mail component.,Problem
Problem durch unkompatible Abhängigkeiten,Problem With Incompatibility,Incident
Sicherheitspräventionsmaßnahmen nach unbefugtem Zugriff,Security measures after unauthorised access,Incident
Strategien für das Markenwachstum in der Digitalen Welt,Strategy for the growth of brands in the digital world,Request
Digitale Strategie,Digital Strategy,Request
Leistungsschwachstelle in Kampagne gemeldet,Performance field reported in the campaign,Problem
Campagne zeigt schwache Ergebnisse,The campaign shows weak results,Problem
Unbefugter Zugriff in Gesundheitsversorgungssystemen,Unauthorised access to health care systems,Incident
Probleme mit den Vorhersagen,Problems With Predictions,Problem
[NO_SUBJECT],[NO_SUBJECT],Problem
Sicherungsfehler auf Kingston DataTraveler plötzlich aufgetreten,Security error occurred on Kingston DataTraveler,Problem
Frage zur Nutzung von Optimierungstools für Investoren,Question of the use of optimization tools for investors,Request
Technisches Problem bei Anwendungen,Technical problem with applications,Incident
Ratgeber zur Leistungsverbesserung von Netgear CM1000 und Oracle Database 19c,Advisor for the improvement of Netgear CM1000 and Oracle Database 19c,Request
Anfragen zur Unterstützung im Bereich Datenanalyse,Requests for support in the field of data analysis,Change
Unbefugter Zugriff auf medizinische Akten,Unauthorised access to medical records,Incident
Anfrage nach Digitalen Strategien,Proposal for a Digital Strategy,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Probleme mit der SaaS-Plattform - Abruch und Datenverlust,Problems with the SaaS platform - Abbreviation and data loss,Incident
Probleme mit digitalen Marketingwerkzeugen,Problems with digital marketing tools,Incident
Probleme bei der langsamen Ladezeit der Website,Problems while loading the website,Incident
Angebote in der Digitalen Marketing-Branche,Offers in the digital marketing industry,Request
Erhöhung der Digitalen Marke,Increase Digital Marking,Request
Frage zu Medizinischen Datensicherheitsdienstleistungen,Question of medical data security services,Request
